0 processo0 4 8
0 processo1 3 4
0 processo2 2 2
0 processo3 5 9
0 processo4 1 1
0 processo5 4 8
0 processo6 5 5
0 processo7 2 2
0 processo8 1 2
0 processo9 3 4
1 processo10 5 7
1 processo11 4 6
1 processo12 2 4
1 processo13 2 4
1 processo14 3 7
1 processo15 5 7
1 processo16 5 9
1 processo17 5 7
1 processo18 3 6
1 processo19 2 5
2 processo20 4 10
2 processo21 4 10
2 processo22 3 8
2 processo23 5 7
2 processo24 2 4
2 processo25 5 9
2 processo26 5 8
2 processo27 1 3
2 processo28 1 3
2 processo29 4 7
3 processo30 3 6
3 processo31 2 6
3 processo32 3 8
3 processo33 2 5
3 processo34 1 4
3 processo35 1 4
3 processo36 5 8
3 processo37 2 7
3 processo38 4 11
3 processo39 2 7
4 processo40 4 8
4 processo41 3 8
4 processo42 5 12
4 processo43 4 8
4 processo44 4 8
4 processo45 5 14
4 processo46 5 14
4 processo47 3 7
4 processo48 1 5
4 processo49 1 5
5 processo50 4 9
5 processo51 4 12
5 processo52 1 6
5 processo53 1 6
5 processo54 4 13
5 processo55 3 10
5 processo56 2 8
5 processo57 2 9
5 processo58 5 13
5 processo59 1 7
6 processo60 1 7
6 processo61 5 12
6 processo62 2 10
6 processo63 5 13
6 processo64 5 12
6 processo65 5 14
6 processo66 3 11
6 processo67 5 13
6 processo68 5 15
6 processo69 3 10
7 processo70 3 12
7 processo71 2 11
7 processo72 4 11
7 processo73 3 12
7 processo74 4 12
7 processo75 4 14
7 processo76 3 12
7 processo77 1 8
7 processo78 2 10
7 processo79 4 12
8 processo80 2 11
8 processo81 1 10
8 processo82 3 12
8 processo83 3 13
8 processo84 3 11
8 processo85 2 11
8 processo86 4 14
8 processo87 2 12
8 processo88 4 12
8 processo89 5 15
9 processo90 1 10
9 processo91 3 13
9 processo92 3 13
9 processo93 2 11
9 processo94 2 13
9 processo95 3 13
9 processo96 1 10
9 processo97 5 16
9 processo98 4 15
9 processo99 3 14
