0 processo0 3 6
0 processo1 2 4
0 processo2 5 8
0 processo3 4 8
0 processo4 2 2
0 processo5 4 8
0 processo6 5 10
0 processo7 4 5
0 processo8 1 1
0 processo9 4 4
0 processo10 1 1
0 processo11 1 2
0 processo12 3 3
0 processo13 4 7
0 processo14 2 4
1 processo15 4 5
1 processo16 1 2
1 processo17 4 9
1 processo18 4 6
1 processo19 4 8
1 processo20 5 6
1 processo21 5 8
1 processo22 1 3
1 processo23 4 7
1 processo24 4 6
1 processo25 5 6
1 processo26 2 4
1 processo27 2 4
1 processo28 1 3
1 processo29 2 5
2 processo30 5 7
2 processo31 3 7
2 processo32 4 6
2 processo33 2 5
2 processo34 2 6
2 processo35 4 6
2 processo36 4 9
2 processo37 4 8
2 processo38 5 7
2 processo39 2 5
2 processo40 5 9
2 processo41 1 4
2 processo42 1 4
2 processo43 3 7
2 processo44 4 6
3 processo45 5 8
3 processo46 1 5
3 processo47 5 13
3 processo48 2 7
3 processo49 1 4
3 processo50 2 5
3 processo51 5 11
3 processo52 2 7
3 processo53 4 8
3 processo54 2 6
3 processo55 1 5
3 processo56 5 9
3 processo57 3 7
3 processo58 1 4
3 processo59 2 7
4 processo60 5 9
4 processo61 1 6
4 processo62 2 6
4 processo63 5 10
4 processo64 2 7
4 processo65 3 7
4 processo66 2 6
4 processo67 1 5
4 processo68 5 11
4 processo69 3 8
4 processo70 2 8
4 processo71 2 8
4 processo72 4 11
4 processo73 2 8
4 processo74 5 13
5 processo75 3 8
5 processo76 5 14
5 processo77 2 9
5 processo78 3 11
5 processo79 3 11
5 processo80 4 10
5 processo81 2 7
5 processo82 1 6
5 processo83 3 8
5 processo84 5 12
5 processo85 5 10
5 processo86 4 11
5 processo87 2 7
5 processo88 2 9
5 processo89 5 14
6 processo90 3 11
6 processo91 4 13
6 processo92 2 9
6 processo93 5 15
6 processo94 4 11
6 processo95 4 13
6 processo96 4 14
6 processo97 4 11
6 processo98 4 14
6 processo99 1 7
